left
aX;aY;aZ;gX;gY;gZ
31;261;1.106;39.856;32.837;-255.127
-15;212;951;34.851;44.312;-279.419
-89;17;771;29.236;56.519;-285.400
-112;-210;792;20.142;69.214;-284.607
-69;-436;784;8.484;72.754;-272.278
28;-487;784;-11.169;63.538;-229.858
91;-389;819;-38.940;56.702;-177.917
127;-309;735;-56.030;45.959;-139.404
131;-296;681;-48.279;29.175;-125.549
157;-254;705;-17.822;10.681;-134.155
178;-237;707;19.714;-6.409;-151.794
175;-303;739;56.641;-18.860;-166.443
162;-413;826;88.806;-27.710;-177.917
170;-508;971;110.413;-35.339;-179.138
185;-538;1.049;114.563;-42.542;-162.598
159;-479;1.020;100.708;-45.776;-131.409
167;-392;1.060;72.632;-41.931;-97.168
165;-330;1.007;40.100;-33.447;-68.359
113;-251;926;10.864;-26.367;-58.777
100;-205;928;-7.080;-12.756;-64.819
86;-281;912;-7.568;-5.615;-75.378
78;-373;966;3.845;-5.249;-82.825
100;-408;1.030;11.292;-5.310;-79.590
114;-395;1.038;5.005;-6.042;-64.514
95;-371;995;-10.620;-8.057;-49.561
93;-393;984;-23.865;-9.094;-41.992
72;-426;981;-29.236;-10.254;-36.316
70;-411;999;-28.259;-10.620;-24.292
59;-417;984;-22.217;-12.085;-3.906
53;-408;992;-14.771;-12.329;17.883
39;-354;972;-10.254;-10.193;36.438
88;-397;1.008;-8.179;-5.493;55.603
121;-336;1.039;-5.981;-1.465;60.913
143;-280;1.011;-1.465;-1.221;56.030
118;-246;968;3.174;-2.563;45.959
123;-219;991;7.507;3.479;31.250
147;-205;964;6.409;5.737;17.822
106;-236;933;183;9.705;12.695
122;-275;952;-7.507;17.700;12.268
147;-245;918;-15.564;17.334;10.742
153;-241;877;-19.836;13.062;14.954
127;-260;893;-18.677;8.057;17.944
129;-266;911;-13.245;488;17.700
115;-223;898;-7.629;-13.306;21.729
118;-229;919;-3.296;-26.794;32.166
119;-217;931;-854;-34.058;35.339
126;-190;925;1.648;-32.837;30.457
122;-206;924;3.845;-28.137;26.489
131;-216;945;5.188;-21.912;20.447
138;-217;957;4.395;-16.052;15.381
130;-217;963;1.038;-10.864;13.245
114;-207;947;-4.272;-6.042;10.559
96;-202;921;-8.972;-1.343;6.775
79;-195;903;-12.390;3.174;2.319
81;-189;891;-15.076;5.859;671
104;-199;885;-16.724;4.700;3.235
123;-208;891;-15.625;854;5.066
116;-199;889;-10.742;-4.089;4.028
95;-182;910;-2.869;-8.667;2.319
97;-177;917;4.089;-12.756;1.038
114;-185;927;8.606;-14.954;610
118;-197;945;10.986;-14.099;-916
113;-193;951;10.681;-11.780;-3.784
125;-192;951;5.615;-7.935;-7.263
122;-210;967;-244;-3.113;-8.484
116;-229;966;-7.385;610;-8.118
113;-259;965;-14.099;3.784;-6.897
108;-271;950;-17.578;5.249;-7.141
84;-254;937;-16.541;5.493;-6.775
69;-239;924;-12.695;3.906;-3.784
77;-234;915;-6.958;1.770;122
99;-230;918;-916;-793;61
114;-217;932;5.493;-3.479;-2.625
117;-205;953;11.658;-6.104;-4.456
110;-204;972;14.160;-8.850;-4.578
102;-202;982;12.634;-10.681;-3.601
105;-186;977;8.606;-10.986;-1.099
109;-189;968;3.357;-9.949;2.319
110;-207;960;-1.648;-8.545;4.761
111;-226;953;-5.981;-7.080;3.601
109;-240;942;-8.606;-4.883;-305
