aX,aY,aZ,gX,gY,gZ
0.030,-0.051,0.943,9.644,-14.099,-4.761
0.026,-0.051,0.969,15.015,-14.832,-4.333

-0.246,-0.140,2.504,59.448,116.028,-70.129
-0.320,-0.335,2.545,22.949,210.083,-63.660
-0.401,-0.373,2.376,-19.348,313.293,-44.006
-0.449,-0.315,2.034,-32.288,399.292,-27.649
-0.492,-0.227,1.681,-11.292,458.801,-17.151
-0.442,-0.126,1.168,22.583,484.741,-10.254
-0.225,-0.081,0.760,50.903,483.032,-12.207
0.143,-0.051,0.639,74.158,458.069,-20.935
0.233,-0.051,0.556,87.769,416.687,-25.024
0.277,0.010,0.714,88.074,383.667,-31.128
0.307,-0.123,0.876,85.815,375.732,-37.292
0.107,-0.229,0.846,58.777,398.743,-41.382
0.040,-0.169,0.669,6.836,432.922,-39.063
0.197,-0.077,0.360,-29.968,450.500,-38.147
0.339,0.048,-0.071,-37.354,444.519,-49.072
0.369,0.102,-0.446,-35.095,415.466,-69.336
0.473,-0.024,-0.815,-34.668,358.032,-83.984
0.581,-0.205,-1.053,-41.138,284.363,-88.806
0.594,-0.363,-1.238,-51.270,205.933,-85.205
0.507,-0.510,-1.422,-60.608,132.324,-68.970
0.452,-0.573,-1.508,-73.975,62.500,-38.330
0.424,-0.582,-1.670,-92.407,-14.648,-0.061
0.379,-0.488,-1.766,-115.234,-100.769,37.903
0.374,-0.366,-1.702,-131.226,-200.684,73.486
0.263,-0.320,-1.532,-130.249,-305.298,104.248
0.046,-0.257,-1.297,-117.920,-395.203,118.408
-0.145,-0.272,-0.995,-99.426,-467.285,120.483
-0.259,-0.330,-0.487,-65.796,-525.818,120.178
-0.351,-0.389,-0.022,4.333,-570.618,121.765
-0.329,-0.253,0.432,79.651,-594.421,124.451
-0.192,-0.034,0.982,124.451,-586.914,119.568
-0.129,0.028,1.609,138.733,-552.673,94.910
-0.184,-0.074,2.057,124.817,-487.427,47.913
-0.269,-0.170,2.214,80.139,-391.724,5.859
-0.225,-0.200,2.189,22.339,-292.847,-6.470
-0.175,-0.182,1.998,-23.560,-215.454,-2.014
-0.268,-0.120,1.637,-50.720,-170.715,2.991
-0.190,-0.070,1.272,-65.552,-155.396,9.583
-0.100,-0.043,1.044,-77.515,-163.086,19.348
-0.081,0.017,0.949,-80.872,-188.232,30.579
-0.071,0.119,1.001,-70.190,-220.276,38.940
-0.084,0.179,1.172,-51.941,-243.835,44.250
